country,au_born_population_2021,au_born_population_2016,au_change_2016_2021,au_change_pct,au_data_source,origin_agency,origin_has_public_api,origin_publishes_emigration,australia_bound_emigration_published,origin_note,origin_url_tested,tested_date,source_tier,source_url,source_retrieved_at
England,973950,1002060,-28110,-2.8,ABS ABS_ERP_COB_STATE via ABS Data API,Office for National Statistics,yes,yes,not verified,BASELINE. ONS runs a working public API. Emigration by destination is published in UK long-term international migration estimates.,https://api.beta.ons.gov.uk/v1/datasets,2026-08-25,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T11:58:56.372Z
India,712040,489410,222630,45.5,ABS ABS_ERP_COB_STATE via ABS Data API,Ministry of Statistics (data.gov.in) / eMigrate,yes,yes,no,"Open data API works and carries emigration datasets, but they cover Emigration Check Required clearances only. Australia is an ECNR destination, so Indians departing for Australia generate no emigration record. Other migration datasets in the API are INTERNAL migration; visa datasets cover foreigners arriving IN India.",https://api.data.gov.in/lists,2026-08-25,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T11:58:56.372Z
New Zealand,584010,568170,15840,2.8,ABS ABS_ERP_COB_STATE via ABS Data API,Stats NZ,exists,yes,yes,BASELINE. Stats NZ publishes migration by destination including Australia. API endpoint returned 502 on the test date.,https://api.stats.govt.nz/opendata/v1/,2026-08-25,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T11:58:56.372Z
South Africa,202730,180480,22250,12.3,ABS ABS_ERP_COB_STATE via ABS Data API,Statistics South Africa,no,not verified,not verified,Site returns a robots-restricted response to automated requests.,https://www.statssa.gov.za/,2026-08-25,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T11:58:56.372Z
Sri Lanka,140110,124500,15610,12.5,ABS ABS_ERP_COB_STATE via ABS Data API,Department of Census and Statistics,no,not verified,not verified,"Site reachable, no machine-readable API found at the tested endpoint.",http://www.statistics.gov.lk/,2026-08-25,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T11:58:56.372Z
Nepal,130290,58980,71310,120.9,ABS ABS_ERP_COB_STATE via ABS Data API,Department of Foreign Employment,no,yes (not via API),no,"Publishes labour permits by destination. Top destinations are UAE, Malaysia, Qatar, Saudi Arabia and Kuwait; Australia does not appear. Nepalis coming to Australia arrive predominantly as students, and a student visa is not a labour permit. Reports are PDFs in Nepali.",https://dofe.gov.np/,2026-08-25,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T11:58:56.372Z
Iraq,101020,74680,26340,35.3,ABS ABS_ERP_COB_STATE via ABS Data API,Central Statistical Organization,no,not verified,not verified,Tested endpoint returned 404.,https://cosit.gov.iq/en/,2026-08-25,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T11:58:56.372Z
Pakistan,96170,69660,26510,38.1,ABS ABS_ERP_COB_STATE via ABS Data API,Bureau of Emigration & Overseas Employment / PBS,no,yes (not via API),not verified,"BEOE returns HTTP 403 to automated requests including with a browser user agent, so its country-wise tables could not be tested. Pakistan Bureau of Statistics is reachable with no API found. BEOE regulates overseas EMPLOYMENT, which is Gulf-dominated.",https://beoe.gov.pk/,2026-08-25,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T11:58:56.372Z
Lebanon,95110,93720,1390,1.5,ABS ABS_ERP_COB_STATE via ABS Data API,Central Administration of Statistics,no,not verified,not verified,"Site reachable, no API found at the tested endpoint.",http://www.cas.gov.lb/,2026-08-25,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T11:58:56.372Z
Iran,77070,66150,10920,16.5,ABS ABS_ERP_COB_STATE via ABS Data API,Statistical Centre of Iran,no,not verified,not verified,Endpoint did not respond to automated request.,https://www.amar.org.ir/english,2026-08-25,primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv",2026-08-25T11:58:56.372Z
